DATE,PMAIZMTUSDQ
1990-01-01,107.343999226888
1990-04-01,119.941833496094
1990-07-01,109.049957275391
1990-10-01,100.782633463542
1991-01-01,106.950312296549
1991-04-01,107.026435852051
1991-07-01,108.233945210775
1991-10-01,107.680623372396
1992-01-01,113.397402445475
1992-04-01,109.478324890137
1992-07-01,99.383555094401
1992-10-01,94.5919494628906
1993-01-01,95.2948252360026
1993-04-01,97.4787521362306
1993-07-01,101.0777537028
1993-10-01,114.308530171712
1994-01-01,123.490918477376
1994-04-01,112.033696492513
1994-07-01,97.4978281656901
1994-10-01,98.0903167724609
1995-01-01,107.834500630697
1995-04-01,113.858502705892
1995-07-01,128.039886474609
1995-10-01,144.072372436523
1996-01-01,164.114705403646
1996-04-01,196.557093302409
1996-07-01,176.559748331706
1996-10-01,120.86021677653
1997-01-01,122.767316182454
1997-04-01,118.635019938151
1997-07-01,110.202883402506
1997-10-01,117.084447224935
1998-01-01,113.942143758138
1998-04-01,104.802159627279
1998-07-01,91.65904490153
1998-10-01,96.0680160522461
1999-01-01,96.1474428598937
1999-04-01,93.2341853429705
1999-07-01,85.7004128812358
1999-10-01,86.0942165064439
2000-01-01,94.40141503375
2000-04-01,91.7031461160147
2000-07-01,76.8161608747464
2000-10-01,89.9561953307972
2001-01-01,92.5623005545113
2001-04-01,85.2610851969955
2001-07-01,91.1258965562306
2001-10-01,89.4872695131912
2002-01-01,90.8510345126209
2002-04-01,90.2025843062642
2002-07-01,107.844152886905
2002-10-01,108.435295930124
2003-01-01,105.705738331444
2003-04-01,106.756598866213
2003-07-01,100.419566150794
2003-10-01,108.09954867107
2004-01-01,122.546070768255
2004-04-01,128.667822131519
2004-07-01,102.104843849206
2004-10-01,94.260726405299
2005-01-01,96.8040544711481
2005-04-01,96.4836536564626
2005-07-01,100.673897312925
2005-10-01,100.069001575964
2006-01-01,104.892996641604
2006-04-01,109.382462047977
2006-07-01,116.617598035714
2006-10-01,155.696515595238
2007-01-01,170.709391413056
2007-04-01,159.102330066138
2007-07-01,152.790739536341
2007-10-01,171.837103591676
2008-01-01,220.177443784461
2008-04-01,259.101902321429
2008-07-01,245.415511380385
2008-10-01,168.746300021842
2009-01-01,167.090706934996
2009-04-01,176.086637409297
2009-07-01,151.476447534014
2009-10-01,167.859598527569
2010-01-01,162.7234538384
2010-04-01,157.79362571712
2010-07-01,181.787132114512
2010-10-01,241.521807519841
2011-01-01,283.039014237068
2011-04-01,312.683490578231
2011-07-01,302.479605846273
2011-10-01,269.21422180839
2012-01-01,277.716506309524
2012-04-01,270.144373982426
2012-07-01,328.646084510578
2012-10-01,317.24322945802
2013-01-01,305.183252258623
2013-04-01,290.748578214286
2013-07-01,240.480736964286
2013-10-01,199.505295223177
2014-01-01,210.173641777062
2014-04-01,214.013111564626
2014-07-01,173.970326051587
2014-10-01,173.599856819394
2015-01-01,174.282519548872
2015-04-01,168.438609073129
2015-07-01,169.475617828798
2015-10-01,167.181799686717
2016-01-01,160.014084793233
2016-04-01,171.126753684807
2016-07-01,153.516786314823
2016-10-01,152.226261473923
2017-01-01,160.651254043881
2017-04-01,157.704859617794
2017-07-01,151.156644702381
2017-10-01,148.867323392857
2018-01-01,163.818145014322
2018-04-01,173.306775651927
2018-07-01,158.007175800007
2018-10-01,162.911217765413
2019-01-01,167.607952309345
2019-04-01,176.000487485828
2019-07-01,170.163141369048
2019-10-01,166.906198982374
2020-01-01,167.579293971536
2020-04-01,146.347928103742
2020-07-01,156.194384325397
2020-10-01,192.191947536997
2021-01-01,241.02295829247
2021-04-01,288.481241751701
2021-07-01,257.094038180272
